Tiempo	Replica	Distancia_Global	CYS1	Distancia_Global_Smooth	CYS1_Smooth
24.160	R3	2.130	2.130	2.569	2.569
24.200	R3	2.854	2.854	2.537	2.537
24.240	R3	2.656	2.656	2.526	2.526
24.280	R3	2.301	2.301	2.529	2.529
24.320	R3	2.932	2.932	2.512	2.512
24.360	R3	2.920	2.920	2.539	2.539
24.400	R3	2.745	2.745	2.521	2.521
24.440	R3	2.832	2.832	2.532	2.532
24.480	R3	2.037	2.037	2.548	2.548
24.520	R3	2.612	2.612	2.545	2.545
24.560	R3	2.014	2.014	2.547	2.547
24.600	R3	2.075	2.075	2.568	2.568
24.640	R3	2.659	2.659	2.560	2.560
24.680	R3	2.487	2.487	2.532	2.532
24.720	R3	2.517	2.517	2.541	2.541
24.760	R3	2.630	2.630	2.518	2.518
24.800	R3	2.692	2.692	2.511	2.511
24.840	R3	2.560	2.560	2.508	2.508
24.880	R3	2.584	2.584	2.495	2.495
24.920	R3	2.697	2.697	2.557	2.557
24.960	R3	2.555	2.555	2.554	2.554
25.000	R3	2.688	2.688	2.558	2.558
25.040	R3	2.111	2.111	2.609	2.625
25.080	R3	2.479	2.479	2.589	2.604
25.120	R3	2.467	2.467	2.574	2.589
25.160	R3	2.786	2.786	2.581	2.596
25.200	R3	2.671	2.671	2.578	2.593
25.240	R3	2.585	2.585	2.571	2.586
25.280	R3	3.280	3.280	2.563	2.578
25.320	R3	2.536	2.536	2.546	2.561
25.360	R3	2.097	2.097	2.551	2.566
25.400	R3	3.106	3.412	2.523	2.538
25.440	R3	2.245	2.245	2.497	2.513
25.480	R3	2.191	2.191	2.525	2.541
25.520	R3	2.659	2.659	2.501	2.516
25.560	R3	2.562	2.562	2.491	2.507
25.600	R3	2.551	2.551	2.448	2.464
25.640	R3	2.411	2.411	2.426	2.441
25.680	R3	2.243	2.243	2.402	2.417
25.720	R3	2.785	2.785	2.383	2.398
25.760	R3	1.996	1.996	2.378	2.393
25.800	R3	2.183	2.183	2.401	2.416
25.840	R3	2.676	2.676	2.351	2.351
25.880	R3	1.980	1.980	2.331	2.331
25.920	R3	2.286	2.286	2.356	2.356
25.960	R3	1.924	1.924	2.334	2.334
26.000	R3	2.215	2.215	2.348	2.348
26.040	R3	2.116	2.116	2.334	2.334
26.080	R3	2.891	2.891	2.355	2.355
26.120	R3	2.438	2.438	2.378	2.378
26.160	R3	2.555	2.555	2.390	2.390
26.200	R3	2.106	2.106	2.444	2.444
26.240	R3	1.846	1.846	2.480	2.480
26.280	R3	2.696	2.696	2.474	2.474
26.320	R3	2.230	2.230	2.509	2.509
26.360	R3	2.831	2.831	2.531	2.531
26.400	R3	2.283	2.283	2.556	2.556
26.440	R3	2.816	2.816	2.590	2.590
26.480	R3	2.708	2.708	2.616	2.616
26.520	R3	3.020	3.020	2.599	2.599
26.560	R3	3.075	3.075	2.590	2.590
26.600	R3	2.911	2.911	2.571	2.571
26.640	R3	2.554	2.554	2.596	2.596
26.680	R3	2.683	2.683	2.633	2.633
26.720	R3	2.729	2.729	2.637	2.637
26.760	R3	2.424	2.424	2.653	2.653
26.800	R3	2.881	2.881	2.649	2.649
26.840	R3	2.649	2.649	2.635	2.635
26.880	R3	2.545	2.545	2.643	2.643
26.920	R3	2.257	2.257	2.620	2.620
26.960	R3	2.180	2.180	2.599	2.599
27.000	R3	2.597	2.597	2.596	2.596
27.040	R3	2.591	2.591	2.587	2.587
27.080	R3	2.780	2.780	2.579	2.579
27.120	R3	2.539	2.539	2.583	2.583
27.160	R3	2.753	2.753	2.578	2.578
27.200	R3	2.020	2.020	2.567	2.567
27.240	R3	2.969	2.969	2.564	2.564
27.280	R3	2.241	2.241	2.558	2.558
27.320	R3	2.612	2.612	2.555	2.555
27.360	R3	3.001	3.001	2.566	2.566
27.400	R3	2.728	2.728	2.585	2.585
27.440	R3	2.411	2.411	2.583	2.583
27.480	R3	2.763	2.763	2.597	2.597
27.520	R3	2.621	2.621	2.565	2.565
27.560	R3	2.204	2.204	2.579	2.579
27.600	R3	2.819	2.819	2.569	2.569
27.640	R3	2.540	2.540	2.588	2.588
27.680	R3	2.482	2.482	2.569	2.569
27.720	R3	2.480	2.480	2.564	2.564
27.760	R3	2.544	2.544	2.536	2.536
27.800	R3	2.566	2.566	2.493	2.493
27.840	R3	2.858	2.858	2.488	2.488
27.880	R3	2.147	2.147	2.500	2.500
27.920	R3	2.811	2.811	2.490	2.490
27.960	R3	2.568	2.568	2.489	2.489
28.000	R3	2.388	2.388	2.475	2.475
28.040	R3	2.598	2.598	2.432	2.432
28.080	R3	2.143	2.143	2.434	2.434
28.120	R3	2.051	2.051	2.421	2.421
28.160	R3	2.140	2.140	2.462	2.462
28.200	R3	2.629	2.629	2.521	2.521
28.240	R3	2.644	2.644	2.498	2.498
28.280	R3	2.573	2.573	2.461	2.461
28.320	R3	2.591	2.591	2.474	2.474
28.360	R3	1.922	1.922	2.451	2.451
28.400	R3	1.968	1.968	2.451	2.451
28.440	R3	2.573	2.573	2.463	2.463
28.480	R3	2.224	2.224	2.469	2.469
28.520	R3	3.308	3.308	2.468	2.468
28.560	R3	3.719	3.719	2.508	2.508
28.600	R3	2.104	2.104	2.551	2.551
28.640	R3	2.118	2.118	2.541	2.541
28.680	R3	2.420	2.420	2.569	2.569
28.720	R3	2.349	2.349	2.596	2.596
28.760	R3	2.552	2.552	2.586	2.586
28.800	R3	2.645	2.645	2.619	2.619
28.840	R3	2.715	2.715	2.652	2.652
28.880	R3	2.111	2.111	2.644	2.644
28.920	R3	2.859	2.859	2.660	2.660
28.960	R3	3.001	3.001	2.627	2.627
29.000	R3	2.422	2.422	2.578	2.578
29.040	R3	3.217	3.217	2.600	2.600
29.080	R3	3.100	3.100	2.631	2.631
29.120	R3	2.400	2.400	2.631	2.631
29.160	R3	2.573	2.573	2.654	2.654
29.200	R3	2.629	2.629	2.720	2.720
29.240	R3	2.414	2.414	2.709	2.709
29.280	R3	2.554	2.554	2.719	2.719
29.320	R3	2.645	2.645	2.756	2.756
29.360	R3	2.731	2.731	2.726	2.726
29.400	R3	2.546	2.546	2.704	2.704
29.440	R3	2.735	2.735	2.695	2.695
29.480	R3	2.425	2.425	2.648	2.648
29.520	R3	2.815	2.815	2.602	2.602
29.560	R3	3.873	3.873	2.592	2.592
29.600	R3	2.426	2.426	2.578	2.578
29.640	R3	2.908	2.908	2.581	2.581
29.680	R3	2.846	2.846	2.596	2.596
29.720	R3	2.262	2.262	2.571	2.571
29.760	R3	2.561	2.561	2.554	2.554
29.800	R3	2.244	2.244	2.552	2.552
29.840	R3	2.278	2.278	2.552	2.552
29.880	R3	2.182	2.182	2.532	2.532
29.920	R3	2.195	2.195	2.537	2.537
29.960	R3	2.298	2.298	2.539	2.539
30.000	R3	2.688	2.688	2.478	2.478
30.040	R3	2.703	2.703	2.457	2.457
30.080	R3	2.050	2.050	2.475	2.475
30.120	R3	2.320	2.320	2.454	2.454
30.160	R3	2.678	2.678	2.472	2.472
30.200	R3	2.552	2.552	2.482	2.482
30.240	R3	2.334	2.334	2.498	2.498
30.280	R3	2.525	2.525	2.507	2.507
30.320	R3	2.863	2.863	2.501	2.501
30.360	R3	2.652	2.652	2.524	2.524
30.400	R3	1.993	1.993	2.536	2.536
30.440	R3	3.277	3.277	2.559	2.559
30.480	R3	2.417	2.417	2.562	2.562
30.520	R3	2.641	2.641	2.588	2.588
30.560	R3	2.746	2.746	2.579	2.579
30.600	R3	2.574	2.574	2.580	2.580
30.640	R3	2.458	2.458	2.559	2.559
30.680	R3	2.059	2.059	2.566	2.566
30.720	R3	2.654	2.654	2.575	2.575
30.760	R3	2.540	2.540	2.558	2.558
30.800	R3	3.138	3.138	2.561	2.561
30.840	R3	2.766	2.766	2.595	2.595
30.880	R3	2.578	2.578	2.534	2.534
30.920	R3	2.135	2.135	2.551	2.551
30.960	R3	2.693	2.693	2.549	2.549
31.000	R3	2.141	2.141	2.535	2.535
31.040	R3	2.478	2.478	2.554	2.554
31.080	R3	2.693	2.693	2.568	2.568
31.120	R3	2.537	2.537	2.594	2.594
31.160	R3	2.703	2.703	2.597	2.597
31.200	R3	2.666	2.666	2.567	2.567
31.240	R3	2.067	2.067	2.538	2.538
31.280	R3	2.751	2.751	2.526	2.526
31.320	R3	2.599	2.599	2.496	2.496
31.360	R3	2.468	2.468	2.508	2.508
31.400	R3	2.956	2.956	2.514	2.514
31.440	R3	2.743	2.743	2.576	2.576
31.480	R3	2.582	2.582	2.559	2.559
31.520	R3	2.700	2.700	2.533	2.533
31.560	R3	1.945	1.945	2.540	2.540
31.600	R3	2.557	2.557	2.540	2.540
31.640	R3	2.523	2.523	2.577	2.577
31.680	R3	1.976	1.976	2.582	2.582
31.720	R3	2.382	2.382	2.539	2.539
31.760	R3	2.806	2.806	2.549	2.549
31.800	R3	3.380	3.380	2.534	2.534
31.840	R3	2.145	2.145	2.499	2.499
31.880	R3	2.164	2.164	2.520	2.520
31.920	R3	2.679	2.679	2.526	2.526
31.960	R3	2.702	2.702	2.512	2.512
32.000	R3	3.416	3.416	2.556	2.556
32.040	R3	2.164	2.164	2.532	2.532
32.080	R3	1.896	1.896	2.538	2.538
32.120	R3	2.800	2.800	2.573	2.573
32.160	R3	2.164	2.164	2.590	2.590
32.200	R3	2.262	2.262	2.547	2.547
32.240	R3	3.150	3.150	2.504	2.504
32.280	R3	2.718	2.718	2.525	2.525
32.320	R3	2.413	2.413	2.548	2.548
32.360	R3	2.823	2.823	2.547	2.547
32.400	R3	2.082	2.082	2.571	2.571
32.440	R3	2.637	2.637	2.513	2.513
32.480	R3	2.682	2.682	2.531	2.531
32.520	R3	2.724	2.724	2.592	2.592
32.560	R3	1.931	1.931	2.564	2.564
32.600	R3	2.524	2.524	2.599	2.599
32.640	R3	2.564	2.564	2.624	2.624
32.680	R3	2.623	2.623	2.592	2.592
32.720	R3	2.663	2.663	2.592	2.592
32.760	R3	3.178	3.178	2.580	2.580
32.800	R3	2.267	2.267	2.571	2.571
32.840	R3	2.528	2.528	2.599	2.599
32.880	R3	3.107	3.107	2.611	2.611
32.920	R3	2.246	2.246	2.611	2.611
32.960	R3	2.863	2.863	2.603	2.603
33.000	R3	2.757	2.757	2.640	2.640
33.040	R3	2.517	2.517	2.616	2.616
33.080	R3	2.704	2.704	2.581	2.581
33.120	R3	2.188	2.188	2.583	2.583
33.160	R3	2.633	2.633	2.559	2.559
33.200	R3	2.640	2.640	2.529	2.529
33.240	R3	2.889	2.889	2.549	2.549
33.280	R3	2.669	2.669	2.578	2.578
33.320	R3	2.580	2.580	2.581	2.581
33.360	R3	2.659	2.659	2.567	2.567
33.400	R3	2.045	2.045	2.543	2.543
33.440	R3	1.875	1.875	2.527	2.527
33.480	R3	2.662	2.662	2.536	2.536
33.520	R3	2.169	2.169	2.507	2.507
33.560	R3	2.575	2.575	2.499	2.499
33.600	R3	2.672	2.672	2.494	2.494
33.640	R3	3.106	3.106	2.472	2.472
33.680	R3	3.181	3.181	2.453	2.453
33.720	R3	1.949	1.949	2.429	2.429
33.760	R3	2.384	2.384	2.427	2.427
33.800	R3	2.450	2.450	2.427	2.427
33.840	R3	2.693	2.693	2.448	2.448
33.880	R3	2.133	2.133	2.482	2.482
33.920	R3	2.024	2.024	2.468	2.468
33.960	R3	2.529	2.529	2.497	2.497
34.000	R3	2.193	2.193	2.503	2.503
34.040	R3	2.508	2.508	2.543	2.543
34.080	R3	2.204	2.204	2.541	2.541
34.120	R3	2.534	2.534	2.537	2.537
34.160	R3	2.647	2.647	2.606	2.606
34.200	R3	2.466	2.466	2.634	2.634
34.240	R3	2.565	2.565	2.644	2.644
34.280	R3	2.373	2.373	2.672	2.672
34.320	R3	2.756	2.756	2.697	2.697
34.360	R3	2.701	2.701	2.734	2.734
34.400	R3	3.467	3.467	2.765	2.765
34.440	R3	3.071	3.071	2.806	2.806
34.480	R3	3.095	3.095	2.826	2.826
34.520	R3	3.337	3.337	2.876	2.876
34.560	R3	2.928	2.928	2.881	2.881
34.600	R3	2.655	2.655	2.847	2.847
34.640	R3	3.246	3.246	2.850	2.850
34.680	R3	2.636	2.636	2.884	2.884
34.720	R3	2.769	2.769	2.895	2.895
34.760	R3	3.150	3.150	2.888	2.888
34.800	R3	3.008	3.008	2.884	2.884
34.840	R3	2.909	2.909	2.837	2.837
34.880	R3	3.206	3.206	2.813	2.813
34.920	R3	2.629	2.629	2.792	2.792
34.960	R3	1.969	1.969	2.762	2.762
35.000	R3	2.524	2.524	2.719	2.719
35.040	R3	3.245	3.245	2.731	2.731
35.080	R3	2.609	2.609	2.702	2.702
35.120	R3	2.605	2.605	2.696	2.696
35.160	R3	2.622	2.622	2.687	2.687
35.200	R3	2.537	2.537	2.658	2.658
35.240	R3	2.583	2.583	2.603	2.603
35.280	R3	2.673	2.673	2.571	2.571
35.320	R3	2.739	2.739	2.550	2.550
35.360	R3	2.076	2.076	2.523	2.523
35.400	R3	2.887	2.887	2.538	2.538
35.440	R3	2.671	2.671	2.569	2.569
35.480	R3	2.517	2.517	2.507	2.507
35.520	R3	2.587	2.587	2.521	2.521
35.560	R3	2.572	2.572	2.512	2.527
35.600	R3	1.896	1.896	2.504	2.525
35.640	R3	2.265	2.265	2.498	2.527
35.680	R3	2.792	2.792	2.503	2.537
35.720	R3	2.090	2.090	2.483	2.517
35.760	R3	2.280	2.280	2.474	2.518
35.800	R3	3.136	3.136	2.478	2.521
35.840	R3	1.998	1.998	2.451	2.495
35.880	R3	2.894	2.894	2.437	2.492
35.920	R3	2.423	2.729	2.432	2.496
35.960	R3	2.463	2.582	2.431	2.495
36.000	R3	2.424	2.580	2.424	2.489
36.040	R3	2.670	2.772	2.461	2.529
36.080	R3	2.273	2.273	2.459	2.528
36.120	R3	2.573	2.754	2.439	2.532
36.160	R3	2.146	2.146	2.446	2.539
36.200	R3	2.359	2.359	2.446	2.556
36.240	R3	2.383	2.619	2.393	2.504
36.280	R3	2.407	2.587	2.395	2.505
36.320	R3	2.583	2.583	2.367	2.482
36.360	R3	2.431	2.442	2.364	2.477
36.400	R3	2.621	2.703	2.354	2.461
36.440	R3	2.239	2.239	2.360	2.470
36.480	R3	2.379	2.868	2.340	2.444
36.520	R3	2.243	2.243	2.337	2.442
36.560	R3	2.267	2.619	2.310	2.406
36.600	R3	2.092	2.092	2.318	2.414
36.640	R3	2.023	2.023	2.326	2.421
36.680	R3	2.342	2.428	2.315	2.399
36.720	R3	2.355	2.621	2.305	2.380
36.760	R3	2.266	2.266	2.309	2.383
36.800	R3	2.550	2.758	2.305	2.379
36.840	R3	2.265	2.265	2.283	2.353
36.880	R3	2.217	2.217	2.302	2.372
36.920	R3	2.042	2.042	2.297	2.343
36.960	R3	2.305	2.305	2.311	2.357
37.000	R3	2.503	2.503	2.306	2.335
37.040	R3	2.177	2.177	2.301	2.330
37.080	R3	2.203	2.203	2.330	2.360
37.120	R3	2.653	2.653	2.318	2.344
37.160	R3	2.355	2.355	2.329	2.352
37.200	R3	2.187	2.187	2.343	2.370
37.240	R3	2.625	2.625	2.347	2.367
37.280	R3	2.271	2.271	2.351	2.385
37.320	R3	2.520	2.535	2.351	2.385
37.360	R3	2.166	2.166	2.370	2.404
37.400	R3	2.003	2.003	2.374	2.425
37.440	R3	2.590	2.622	2.376	2.431
37.480	R3	2.113	2.113	2.398	2.453
37.520	R3	2.575	2.778	2.403	2.458
37.560	R3	2.538	2.629	2.375	2.429
37.600	R3	2.637	2.697	2.366	2.421
37.640	R3	2.343	2.614	2.372	2.443
37.680	R3	2.216	2.216	2.367	2.443
37.720	R3	2.421	2.421	2.363	2.439
37.760	R3	2.385	2.723	2.366	2.443
37.800	R3	2.543	2.630	2.382	2.459
37.840	R3	2.612	2.612	2.412	2.489
37.880	R3	2.305	2.305	2.408	2.485
37.920	R3	2.089	2.089	2.404	2.481
37.960	R3	2.178	2.178	2.396	2.464
38.000	R3	2.313	2.624	2.402	2.465
38.040	R3	2.522	2.627	2.386	2.456
38.080	R3	2.199	2.199	2.398	2.454
38.120	R3	2.579	2.615	2.394	2.450
38.160	R3	2.477	2.477	2.377	2.433
38.200	R3	2.608	2.608	2.385	2.425
38.240	R3	2.515	2.555	2.380	2.436
38.280	R3	2.026	2.026	2.371	2.430
38.320	R3	2.418	2.428	2.372	2.431
38.360	R3	2.652	2.665	2.372	2.430
38.400	R3	2.319	2.500	2.378	2.437
38.440	R3	2.579	2.579	2.383	2.434
38.480	R3	2.136	2.136	2.369	2.415
38.520	R3	2.083	2.083	2.362	2.408
38.560	R3	2.558	2.558	2.365	2.409
38.600	R3	2.441	2.849	2.363	2.415
38.640	R3	2.426	2.497	2.362	2.414
38.680	R3	2.323	2.323	2.362	2.412
38.720	R3	2.080	2.080	2.364	2.414
38.760	R3	2.309	2.309	2.369	2.424
38.800	R3	2.410	2.573	2.347	2.401
38.840	R3	2.239	2.239	2.358	2.404
38.880	R3	2.066	2.066	2.350	2.396
38.920	R3	2.627	2.632	2.371	2.431
38.960	R3	2.456	2.597	2.389	2.459
39.000	R3	2.577	2.577	2.362	2.448
39.040	R3	2.518	2.518	2.345	2.410
39.080	R3	2.063	2.063	2.351	2.414
39.120	R3	2.514	2.634	2.353	2.416
39.160	R3	2.213	2.213	2.378	2.441
39.200	R3	2.547	2.547	2.387	2.457
39.240	R3	2.423	2.423	2.373	2.434
39.280	R3	2.542	2.845	2.368	2.429
39.320	R3	2.459	2.630	2.385	2.475
39.360	R3	2.008	2.350	2.349	2.440
39.400	R3	2.092	2.092	2.367	2.450
39.440	R3	2.559	2.577	2.360	2.455
39.480	R3	2.355	2.355	2.356	2.451
39.520	R3	2.580	2.580	2.357	2.453
39.560	R3	2.491	2.620	2.360	2.449
39.600	R3	2.129	2.129	2.367	2.456
39.640	R3	2.133	2.133	2.363	2.452
39.680	R3	2.416	2.993	2.373	2.462
39.720	R3	1.916	1.916	2.373	2.447
39.760	R3	2.804	2.804	2.386	2.451
39.800	R3	2.437	2.679	2.397	2.445
39.840	R3	2.442	2.442	2.418	2.467
39.880	R3	2.091	2.091	2.416	2.493
39.920	R3	2.557	2.557	2.406	2.483
39.960	R3	2.364	2.364	2.403	2.492
40.000	R3	2.470	2.470	2.411	2.501
40.040	R3	2.622	2.622	2.430	2.524
40.080	R3	2.530	2.530	2.452	2.546
40.120	R3	2.722	2.722	2.444	2.509
40.160	R3	2.222	2.222	2.480	2.545
40.200	R3	2.527	2.527	2.456	2.522
40.240	R3	2.514	3.106	2.460	2.513
40.280	R3	2.153	2.153	2.460	2.514
40.320	R3	2.512	2.767	2.493	2.546
40.360	R3	2.658	2.796	2.493	2.547
40.400	R3	2.504	2.590	2.498	2.581
40.440	R3	2.572	2.572	2.476	2.559
40.480	R3	2.258	2.258	2.470	2.640
40.520	R3	2.633	2.633	2.458	2.627
40.560	R3	2.331	2.331	2.426	2.618
40.600	R3	2.517	2.517	2.430	2.622
40.640	R3	2.445	2.445	2.433	2.642
40.680	R3	2.741	2.741	2.443	2.626
40.720	R3	2.570	2.570	2.454	2.638
40.760	R3	2.458	3.049	2.449	2.619
40.800	R3	2.027	2.027	2.440	2.607
40.840	R3	2.509	4.236	2.439	2.610
40.880	R3	2.288	2.288	2.430	2.600
40.920	R3	2.078	2.532	2.436	2.619
40.960	R3	2.302	2.302	2.411	2.594
41.000	R3	2.587	2.930	2.400	2.583
41.040	R3	2.714	2.792	2.381	2.564
41.080	R3	2.384	2.384	2.369	2.552
41.120	R3	2.397	2.397	2.359	2.542
41.160	R3	2.481	2.547	2.342	2.526
41.200	R3	2.493	2.643	2.343	2.536
41.240	R3	2.387	2.387	2.373	2.645
41.280	R3	2.371	2.628	2.374	2.672
41.320	R3	2.139	2.139	2.388	2.778
41.360	R3	2.112	2.112	2.413	2.835
41.400	R3	2.139	2.139	2.423	2.937
41.440	R3	2.196	2.196	2.417	2.974
41.480	R3	2.547	2.547	2.409	2.962
41.520	R3	2.236	2.236	2.396	2.949
41.560	R3	2.473	3.258	2.409	2.964
41.600	R3	2.632	4.215	2.404	2.973
41.640	R3	2.525	4.771	2.376	2.938
41.680	R3	2.570	4.411	2.363	2.925
41.720	R3	2.569	3.673	2.351	2.900
41.760	R3	2.508	4.341	2.364	2.914
41.800	R3	2.465	3.662	2.362	2.911
41.840	R3	2.559	2.559	2.371	2.920
41.880	R3	2.117	2.117	2.362	2.911
41.920	R3	2.652	2.690	2.338	2.887
41.960	R3	2.386	2.740	2.336	2.885
42.000	R3	1.943	1.943	2.329	2.839
42.040	R3	2.130	2.130	2.320	2.751
42.080	R3	2.115	2.115	2.304	2.622
42.120	R3	2.415	2.415	2.289	2.515
42.160	R3	2.066	2.066	2.288	2.544
42.200	R3	2.307	2.307	2.286	2.488
42.240	R3	2.021	2.021	2.285	2.439
42.280	R3	2.073	2.073	2.287	2.469
42.320	R3	2.190	2.190	2.304	2.570
42.360	R3	2.342	2.342	2.293	2.587
42.400	R3	2.450	2.450	2.299	2.612
42.440	R3	2.193	2.193	2.320	2.658
42.480	R3	2.275	2.275	2.334	2.679
42.520	R3	2.555	4.246	2.350	2.704
42.560	R3	2.462	3.230	2.347	2.717
42.600	R3	2.453	2.675	2.363	2.759
42.640	R3	2.593	3.156	2.376	2.784
42.680	R3	2.462	4.139	2.395	2.818
42.720	R3	2.424	3.040	2.414	2.857
42.760	R3	2.519	3.233	2.425	2.915
42.800	R3	2.356	2.867	2.432	2.946
42.840	R3	2.412	2.545	2.434	2.979
42.880	R3	2.426	2.615	2.445	2.993
42.920	R3	2.356	2.681	2.449	3.026
42.960	R3	2.381	2.891	2.443	2.946
43.000	R3	2.571	2.822	2.441	2.921
43.040	R3	2.415	2.694	2.442	2.914
43.080	R3	2.440	2.862	2.440	2.884
43.120	R3	2.410	3.334	2.436	2.796
43.160	R3	2.482	2.966	2.412	2.741
43.200	R3	2.490	3.125	2.398	2.691
43.240	R3	2.419	2.461	2.400	2.699
43.280	R3	2.345	2.947	2.409	2.708
43.320	R3	2.451	2.638	2.405	2.694
43.360	R3	2.414	2.723	2.414	2.703
43.400	R3	2.481	2.547	2.407	2.670
43.440	R3	2.545	2.545	2.400	2.659
43.480	R3	2.388	2.388	2.409	2.660
43.520	R3	1.943	1.943	2.413	2.651
43.560	R3	2.234	2.234	2.409	2.620
43.600	R3	2.402	3.011	2.411	2.608
43.640	R3	2.591	2.733	2.414	2.597
43.680	R3	2.334	2.334	2.420	2.636
43.720	R3	2.545	2.859	2.429	2.618
43.760	R3	2.233	2.233	2.420	2.618
43.800	R3	2.438	2.595	2.419	2.619
43.840	R3	2.586	2.731	2.423	2.634
43.880	R3	2.534	2.673	2.416	2.634
43.920	R3	2.318	2.717	2.421	2.647
43.960	R3	2.523	2.728	2.441	2.685
44.000	R3	2.565	2.901	2.447	2.697
44.040	R3	2.528	3.233	2.449	2.682
44.080	R3	2.524	2.589	2.443	2.680
44.120	R3	2.279	2.644	2.428	2.666
44.160	R3	2.385	2.743	2.422	2.657
44.200	R3	2.561	2.841	2.415	2.650
44.240	R3	2.409	2.555	2.410	2.663
44.280	R3	2.477	2.637	2.395	2.648
44.320	R3	2.352	2.699	2.391	2.637
44.360	R3	2.353	2.477	2.394	2.627
44.400	R3	2.444	2.714	2.364	2.586
44.440	R3	2.465	2.707	2.357	2.570
44.480	R3	2.046	2.046	2.356	2.551
44.520	R3	2.422	2.670	2.355	2.563
44.560	R3	2.099	2.099	2.336	2.525
44.600	R3	2.326	2.860	2.331	2.515
44.640	R3	2.296	2.432	2.311	2.482
44.680	R3	2.443	2.443	2.296	2.459
44.720	R3	2.387	2.513	2.293	2.459
44.760	R3	1.911	1.911	2.276	2.425
44.800	R3	2.423	2.576	2.281	2.436
44.840	R3	2.520	2.869	2.282	2.455
44.880	R3	2.508	2.825	2.280	2.465
44.920	R3	1.883	1.883	2.300	2.513
44.960	R3	2.283	2.538	2.295	2.517
45.000	R3	2.177	2.177	2.310	2.640
45.040	R3	2.098	2.098	2.313	2.627
45.080	R3	2.413	2.650	2.320	2.646
45.120	R3	2.014	2.014	2.317	2.672
45.160	R3	2.462	2.699	2.324	2.676
45.200	R3	2.455	3.093	2.350	2.710
45.240	R3	2.439	2.903	2.351	2.730
45.280	R3	2.437	2.999	2.347	2.709
45.320	R3	2.319	2.753	2.344	2.716
45.360	R3	2.396	4.557	2.367	2.771
45.400	R3	2.402	2.614	2.378	2.769
45.440	R3	2.420	2.801	2.380	2.771
45.480	R3	2.400	2.973	2.406	2.803
45.520	R3	2.508	2.585	2.387	2.773
45.560	R3	2.443	2.596	2.386	2.771
45.600	R3	2.432	2.971	2.384	2.757
45.640	R3	2.448	2.448	2.386	2.733
45.680	R3	2.459	2.974	2.386	2.715
45.720	R3	2.340	2.980	2.380	2.680
45.760	R3	2.501	2.501	2.387	2.681
45.800	R3	2.219	2.219	2.387	2.581
45.840	R3	2.604	2.722	2.388	2.574
45.880	R3	2.048	2.048	2.393	2.562
45.920	R3	1.980	1.980	2.386	2.547
45.960	R3	2.432	2.432	2.381	2.538
46.000	R3	2.495	2.600	2.379	2.543
46.040	R3	2.441	2.540	2.386	2.526
46.080	R3	2.314	2.314	2.386	2.548
46.120	R3	2.448	2.759	2.388	2.524
46.160	R3	2.408	2.560	2.376	2.480
46.200	R3	2.413	2.475	2.361	2.466
46.240	R3	2.532	2.569	2.373	2.478
46.280	R3	2.263	2.674	2.364	2.467
46.320	R3	2.399	2.399	2.383	2.486
46.360	R3	2.405	2.700	2.403	2.511
46.400	R3	2.578	2.617	2.381	2.489
46.440	R3	2.431	2.894	2.376	2.479
46.480	R3	2.506	2.506	2.383	2.481
46.520	R3	2.101	2.101	2.392	2.501
46.560	R3	2.205	2.205	2.392	2.485
46.600	R3	2.466	2.469	2.396	2.499
46.640	R3	2.412	2.505	2.401	2.501
46.680	R3	2.424	2.424	2.377	2.475
46.720	R3	2.392	2.482	2.361	2.439
46.760	R3	1.995	1.995	2.367	2.519
46.800	R3	2.385	2.385	2.377	2.515
46.840	R3	2.578	2.578	2.362	2.498
46.880	R3	2.497	2.715	2.371	2.483
46.920	R3	2.453	2.453	2.358	2.471
46.960	R3	2.480	2.832	2.370	2.495
47.000	R3	2.510	2.510	2.383	2.514
47.040	R3	2.066	2.066	2.385	2.528
47.080	R3	1.947	1.947	2.390	2.529
47.120	R3	2.511	4.002	2.397	2.537
47.160	R3	2.614	2.614	2.386	2.522
47.200	R3	2.270	2.270	2.402	2.561
47.240	R3	2.605	2.605	2.389	2.549
47.280	R3	2.255	2.255	2.379	2.549
47.320	R3	2.339	2.579	2.375	2.545
47.360	R3	2.471	2.594	2.358	2.528
47.400	R3	2.496	2.738	2.358	2.525
47.440	R3	2.507	2.543	2.350	2.526
47.480	R3	2.570	2.570	2.362	2.538
47.520	R3	2.180	2.180	2.389	2.583
47.560	R3	2.300	2.787	2.387	2.516
47.600	R3	2.135	2.135	2.355	2.484
47.640	R3	2.377	2.573	2.360	2.509
47.680	R3	2.418	2.650	2.336	2.485
47.720	R3	2.115	2.115	2.342	2.491
47.760	R3	2.477	2.761	2.328	2.465
47.800	R3	2.343	2.532	2.335	2.466
47.840	R3	2.317	2.317	2.332	2.453
47.880	R3	2.477	2.837	2.328	2.447
47.920	R3	2.468	2.662	2.318	2.441
47.960	R3	1.981	1.981	2.327	2.469
48.000	R3	2.371	2.772	2.327	2.445
48.040	R3	2.127	2.127	2.332	2.450
48.080	R3	2.374	2.374	2.336	2.459
48.120	R3	2.058	2.058	2.341	2.454
48.160	R3	2.613	2.616	2.354	2.487
48.200	R3	2.433	2.468	2.354	2.495
48.240	R3	2.421	2.421	2.361	2.498
48.280	R3	2.377	2.450	2.360	2.514
48.320	R3	2.355	2.752	2.354	2.490
48.360	R3	2.306	2.306	2.343	2.497
